,County Name,County Number,Grad Rate,Opportunity Index
71,Erath County,72,95.43870967741937,-0.443337914964144
72,Falls County,73,95.96666666666665,-0.6837664528730348
73,Fannin County,74,98.65,2.3729435225826947
74,Fayette County,75,99.2,3.361769715032517
75,Fisher County,76,100.0,3.6608412157286523
76,Floyd County,77,93.75,-2.905887178173373
77,Foard County,78,100.0,3.440242748730583
78,Fort Bend County,79,96.87058823529412,1.2786420196814101
79,Franklin County,80,99.0,2.889125885713682
80,Freestone County,81,99.0,2.6835950025529947
81,Frio County,82,98.3,1.5654904485678216
82,Gaines County,83,95.825,-1.0749405440394284
83,Galveston County,84,94.58749999999999,-1.2299958530441115
84,Garza County,85,89.26666666666667,-7.499289906030683
85,Gillespie County,86,98.60000000000001,2.980680551611499
86,Goliad County,88,100.0,3.7989761898129757
87,Gonzales County,89,90.0,-6.284979048376115
88,Gray County,90,99.5,3.292579857999229
89,Grayson County,91,97.94999999999999,1.7996863645806505
90,Gregg County,92,94.44,-1.4461690990267813
91,Grimes County,93,96.66,0.32195843615887726
92,Guadalupe County,94,98.74285714285715,2.878331959117048
93,Hale County,95,99.03999999999999,2.2834655032618913
94,Hall County,96,98.0,1.3188353656573213
95,Hamilton County,97,97.85,2.238698173100275
96,Hansford County,98,100.0,4.292855402305904
97,Hardeman County,99,92.0,-4.789026453599753
98,Hardin County,100,96.88000000000001,1.0158444113857938
99,Harris County,101,93.16619718309857,-2.4708670142459317
100,Harrison County,102,95.34,-0.6718400557383916
101,Hartley County,103,100.0,4.296648497514781
102,Haskell County,104,100.0,3.1547474411064607
103,Hays County,105,94.67142857142858,-1.3279817676248606
104,Hemphill County,106,98.8,2.918563615769955
105,Henderson County,107,94.6857142857143,-1.567163232978889
106,Hidalgo County,108,95.62452830188678,-1.0545132919240663
107,Hill County,109,99.12,2.675399936975681
108,Hockley County,110,99.24285714285715,2.6972247228743162
109,Hood County,111,97.775,2.0547085484633776
110,Hopkins County,112,97.75714285714285,1.4538294424748253
111,Houston County,113,98.525,2.2515389725282553
112,Howard County,114,95.43333333333334,-0.7569977065630505
113,Hudspeth County,115,99.03333333333335,1.585655270145395
114,Hunt County,116,97.57272727272725,1.3192021019887634
115,Hutchinson County,117,97.83333333333333,1.5255849390239102
116,Irion County,118,100.0,3.884673637169655
117,Jack County,119,99.0,2.821456978028072
118,Jackson County,120,98.475,2.3711055945268846
119,Jasper County,121,95.84,-0.35131823011159896
120,Jeff Davis County,122,86.7,-9.750672292490236
121,Jefferson County,123,93.03333333333335,-3.0450116685676982
122,Jim Hogg County,124,94.7,-1.8062735360295221
123,Jim Wells County,125,95.8,-0.6746203505569213
124,Johnson County,126,97.26428571428572,1.2064423228883214
125,Jones County,127,97.94000000000001,1.132476823020454
126,Karnes County,128,96.375,0.09802259587140583
127,Kaufman County,129,98.1,2.1237836985423346
128,Kendall County,130,98.475,3.200501996954909
129,Kerr County,133,99.325,3.5164673683494208
130,Kimble County,134,100.0,3.8525342114229346
131,Kinney County,136,97.8,0.9392543055896851
132,Kleberg County,137,96.2,-0.2710900131654957
133,Knox County,138,100.0,3.248241017755992
134,Lamar County,139,97.36,1.2097068250185885
135,Lamb County,140,99.24,2.7576808428610207
136,Lampasas County,141,99.8,3.6951086081173443
137,La Salle County,142,91.7,-5.236543055569442
138,Lavaca County,143,99.23333333333333,3.3393580322975445
139,Lee County,144,99.56666666666666,3.4427065414348257
140,Leon County,145,98.82,2.38352122146797
141,Liberty County,146,92.8,-3.431848050565476
142,Limestone County,147,98.2,1.8095957971517578
143,Lipscomb County,148,96.425,0.3436978698552373
144,Live Oak County,149,95.15,-1.4606191581986536
145,Llano County,150,98.4,2.3747593864603687
146,Lubbock County,152,96.25714285714285,0.169097676613185
147,Lynn County,153,99.0,2.15086927264284
148,Madison County,154,98.75,2.245461933429972
149,Marion County,155,100.0,3.763852250513608
150,Martin County,156,100.0,3.9504091980326947
151,Mason County,157,100.0,3.811858870597291
152,Matagorda County,158,96.47500000000001,0.13131945558529523
153,Maverick County,159,96.05000000000001,-0.3370676673040478
154,McCulloch County,160,95.90000000000002,-0.9640090710779816
155,McLennan County,161,98.21923076923076,2.07891540798907
156,Medina County,163,95.67999999999999,-0.5847922970587064
157,Menard County,164,100.0,2.9865577567344133
158,Milam County,166,97.82000000000001,1.3939443736115606
159,Mills County,167,97.225,0.15757712768492382
160,Mitchell County,168,96.875,0.08115142501992167
161,Montague County,169,98.83333333333333,2.3803948110374145
